timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4.380,-9.508070,0.267180,0.503250,-4.086250,4.011875,63.144379
4.400,-9.422060,0.358680,0.588650,-6.523125,1.872500,58.765003
4.420,-9.600181,0.356240,0.513620,-5.171250,2.401875,58.940002
4.440,-9.441581,0.409310,0.545950,-2.983750,0.301875,59.941879
4.460,-9.214050,0.562420,0.596580,-4.116875,-5.258750,62.750629
4.480,-9.386070,0.466650,0.725900,-3.368750,-8.133125,62.265003
4.500,-9.625801,0.254370,0.892430,1.185625,-8.911876,53.690002
4.520,-9.623971,0.295240,0.877180,1.903125,-6.199375,48.435627
4.540,-9.489161,0.403820,0.739930,-1.736875,-2.126250,41.575626
4.560,-9.455610,0.394060,0.691130,-3.508750,-2.541875,39.886875
4.580,-9.465370,0.405040,0.671610,-3.618125,-8.041250,37.913754
4.600,-9.367770,0.479460,0.641720,-2.843750,-9.979376,35.945004
4.620,-9.272001,0.531310,0.571570,-2.248750,-9.546250,33.910625
4.640,-9.315921,0.539850,0.466040,0.962500,-6.737500,30.135002
4.660,-9.297010,0.531310,0.436150,3.644375,-5.258750,28.100626
4.680,-9.443411,0.389180,0.283040,8.798125,-6.790000,26.670002
4.700,-9.545890,0.348310,0.153110,10.325001,-6.330626,27.055002
4.720,-9.554430,0.340380,0.057950,9.651251,-5.705000,29.710627
4.740,-9.586151,0.347700,0.064660,8.220625,-6.689375,30.765001
4.760,-9.608721,0.337940,0.102480,6.523125,-7.756876,29.850626
4.780,-9.578220,0.330620,0.188490,3.626875,-6.295625,28.682501
4.800,-9.567851,0.322080,0.184830,2.970625,-4.847500,27.685001
4.820,-9.436701,0.361120,0.240950,2.699375,-4.073125,27.107502
4.840,-9.353741,0.394670,0.317200,3.412500,-4.873750,26.403126
4.860,-9.378140,0.383080,0.474580,5.661250,-4.851875,22.299376
4.880,-9.286640,0.414800,0.524600,7.118125,-3.167500,18.602501
4.900,-9.237230,0.445910,0.610610,10.412500,-0.840000,9.161250
4.920,-9.581881,0.182390,0.655750,12.731251,2.121875,4.449375
4.940,-9.584321,0.161650,0.591700,14.363126,5.311250,0.791875
4.960,-9.713031,-0.017080,0.554490,12.915001,6.505625,-5.652500
4.980,-9.982041,-0.162260,0.574010,13.247500,6.365625,-8.785001
5.000,-9.800871,-0.009150,0.452620,8.741250,6.024375,-12.748751
5.020,-9.743530,0.054900,0.438590,3.679375,3.001250,-12.958751
5.040,-9.755731,0.020130,0.393450,-6.628125,-0.848750,-12.289375
5.060,-9.841131,-0.042700,0.316590,-8.251250,-1.006250,-12.976251
5.080,-9.681310,0.070150,0.245220,-8.925000,2.393125,-13.615001
5.100,-9.333000,0.285480,0.170800,-8.605625,2.436875,-13.571251
5.120,-9.337271,0.261690,0.223870,-6.720000,1.649375,-14.402501
5.140,-9.382411,0.254980,0.358070,-1.281875,0.568750,-19.818750
5.160,-9.345810,0.279990,0.420900,-0.113750,1.640625,-23.410625
5.180,-9.356180,0.281820,0.585600,-0.201250,2.550625,-30.830626
5.200,-9.422670,0.222650,0.618540,0.109375,1.085000,-33.079376
5.220,-9.488550,0.112240,0.606340,1.557500,-3.850000,-34.020000
5.240,-9.583711,0.076250,0.477630,1.706250,-5.263125,-33.556252
5.260,-9.610550,0.049410,0.330010,1.076250,-5.040000,-29.588127
5.280,-9.708761,-0.016470,0.185440,0.301875,-6.361250,-29.001877
5.300,-9.572731,0.046970,0.198250,-1.015000,-7.472500,-29.710627
5.320,-9.594690,0.157990,0.171410,-5.525625,-3.985625,-35.940628
5.340,-9.583100,0.222040,0.176900,-7.056875,1.881250,-40.814377
5.360,-9.378140,0.400770,0.231800,-5.910625,15.575001,-51.231251
5.380,-9.195141,0.495930,0.302560,-3.412500,20.225626,-55.636879
5.400,-9.171961,0.435540,0.335500,4.405625,22.400002,-61.280628
5.420,-9.221371,0.391010,0.337330,9.073750,19.875626,-60.423126
5.440,-9.326290,0.303170,0.292190,13.041876,15.505001,-57.163754
5.460,-9.550771,0.132980,0.250710,16.760626,0.966875,-45.626877
5.480,-9.755121,-0.051240,0.249490,16.060625,-5.915000,-40.131878
5.500,-10.007051,-0.258640,0.323910,7.551250,-12.153750,-35.555626
5.520,-10.046091,-0.245830,0.337330,1.032500,-10.679376,-37.366879
5.540,-9.812461,-0.074420,0.392230,-11.882501,-1.290625,-45.198128
5.560,-9.652031,0.023180,0.472750,-14.266875,4.436250,-50.793751
5.580,-9.407421,0.196420,0.489220,-11.392501,12.849376,-61.372501
5.600,-9.282981,0.358070,0.315980,-6.803125,15.264376,-64.330002
5.620,-9.247601,0.368440,0.170190,-1.885625,17.876251,-64.872505
5.640,-9.206731,0.422120,-0.065880,5.954375,20.396252,-62.238754
5.660,-9.217710,0.394060,-0.085400,8.430625,19.613127,-60.690002
5.680,-9.320190,0.269010,-0.009150,12.171250,17.710001,-60.213127
5.700,-9.429380,0.209840,0.071980,14.144376,17.158751,-61.446877
5.720,-9.464150,0.192150,0.236070,16.576876,18.418751,-62.654377
5.740,-9.468421,0.165310,0.327570,16.690626,18.305000,-62.549377
5.760,-9.497701,0.111630,0.434320,16.471876,13.698126,-59.845627
5.780,-9.653860,-0.037820,0.567910,16.235626,9.226875,-56.590630
5.800,-9.722180,-0.117120,0.611830,15.461250,4.690000,-52.950626
5.820,-9.703271,-0.179950,0.592920,9.848125,-0.866250,-45.478127
5.840,-9.646541,-0.122000,0.589260,5.022500,-1.793750,-42.188126
5.860,-9.505630,-0.101260,0.710040,-1.701875,-2.961875,-39.326878
5.880,-9.432430,-0.042090,0.775310,-2.283750,-3.600625,-39.449375
5.900,-9.428770,-0.018910,0.806420,0.231875,-2.296875,-42.354378
5.920,-9.317751,0.157990,0.732610,1.964375,-0.297500,-44.388752
5.940,-9.310431,0.150060,0.674050,4.173750,2.060625,-46.353127
5.960,-9.247601,0.222650,0.600850,9.388750,3.968125,-49.035004
5.980,-9.260410,0.210450,0.594750,11.462501,2.940000,-50.006252
6.000,-9.326900,0.092720,0.678320,15.841876,-0.949375,-51.699379
6.020,-9.465981,-0.078080,0.731390,17.950626,-4.173750,-52.045002
6.040,-9.551380,-0.144570,0.908290,19.005001,-13.151251,-54.871254
6.060,-9.556261,-0.201300,0.814350,17.154375,-15.251250,-57.155003
6.080,-9.802091,-0.218990,0.696620,12.604376,-7.560000,-58.415001
6.100,-9.592251,-0.240950,0.445910,10.311875,-2.651250,-58.515629
6.120,-9.467811,-0.256810,0.423950,8.605625,-0.896875,-59.075626
6.140,-9.377530,-0.287920,0.384910,8.645000,-1.172500,-60.462502
6.160,-9.354961,-0.278770,0.342820,9.839375,-1.592500,-60.882504
6.180,-9.257360,-0.240950,0.214720,13.002501,-3.640000,-59.469379
6.200,-9.361061,-0.281210,0.223870,15.316875,-4.991875,-58.135002
6.220,-9.384240,-0.259250,0.193370,18.799376,-7.988750,-54.473129
6.240,-9.548940,-0.270230,0.116510,18.943750,-8.141875,-52.193752
6.260,-9.531251,-0.308660,0.081740,17.731876,-8.496250,-46.151878
6.280,-9.578831,-0.358070,0.031110,14.420001,-9.725625,-42.971252
6.300,-9.551380,-0.362340,-0.016470,12.376876,-10.666250,-39.204376
6.320,-9.580661,-0.395890,-0.062220,9.839375,-12.915001,-32.856251
6.340,-9.519661,-0.395280,-0.091500,9.222501,-13.050626,-29.596876
6.360,-9.415960,-0.503250,-0.059780,8.260000,-13.505626,-24.425627
6.380,-9.430600,-0.553270,-0.000610,8.487500,-15.767501,-23.113127
6.400,-9.503800,-0.619760,0.156770,9.660001,-15.811251,-24.570002
6.420,-9.605061,-0.671610,0.156770,10.355625,-13.868751,-27.103127
6.440,-9.669111,-0.622810,0.144570,10.486876,-9.126250,-29.894377
6.460,-9.683750,-0.555100,0.069540,8.592501,0.490000,-32.593750
6.480,-9.719741,-0.535580,0.009760,7.546875,2.738750,-31.368752
6.500,-9.699611,-0.471530,-0.126880,4.064375,1.351875,-23.432501
6.520,-9.684361,-0.481900,-0.171410,1.553125,-0.966875,-17.933126
6.540,-9.633730,-0.458720,-0.268400,-3.863125,-5.101250,-7.726250
6.560,-9.642270,-0.489220,-0.307440,-5.906250,-4.401250,-3.889375
6.580,-9.591030,-0.502640,-0.348920,-7.345625,0.415625,1.076250
6.600,-9.481841,-0.617930,-0.241560,-6.566875,1.378125,2.003750
6.620,-9.506241,-0.597800,-0.181170,-5.293750,2.104375,2.445625
6.640,-9.518440,-0.455670,-0.122610,-3.561250,5.276250,4.213125
6.660,-9.486111,-0.408700,-0.095770,-3.548125,6.129375,5.810000
6.680,-9.499530,-0.432490,0.081740,-4.878125,4.252500,9.388750
6.700,-9.573340,-0.456890,0.130540,-4.865000,2.485000,10.408126
