timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
76.980,-9.501970,0.043920,0.715530,-0.126875,0.866250,-0.030625
77.000,-9.500140,0.037820,0.719800,-0.144375,0.818125,-0.056875
77.020,-9.504411,0.035380,0.713700,-0.096250,0.831250,-0.070000
77.040,-9.508680,0.043310,0.723460,-0.153125,0.826875,-0.083125
77.060,-9.483061,0.037210,0.722240,-0.087500,0.822500,-0.030625
77.080,-9.508680,0.045750,0.721020,-0.135625,0.883750,-0.030625
77.100,-9.498311,0.028060,0.725900,-0.105000,0.875000,-0.065625
77.120,-9.488550,0.042700,0.723460,-0.144375,0.875000,-0.052500
77.140,-9.503191,0.039650,0.732000,-0.013125,0.848750,-0.065625
77.160,-9.504411,0.031110,0.734440,-0.078750,0.835625,-0.052500
77.180,-9.489771,0.043920,0.726510,-0.196875,0.826875,-0.078750
77.200,-9.509900,0.043310,0.712480,-0.052500,0.826875,-0.118125
77.220,-9.497701,0.046970,0.713700,-0.096250,0.796250,-0.087500
77.240,-9.502581,0.048800,0.720410,-0.144375,0.888125,-0.087500
77.260,-9.494040,0.044530,0.714920,-0.087500,0.822500,-0.078750
77.280,-9.500140,0.028670,0.727730,-0.148750,0.835625,-0.091875
77.300,-9.490381,0.037820,0.719800,-0.087500,0.818125,-0.074375
77.320,-9.505020,0.029890,0.729560,-0.091875,0.826875,-0.035000
77.340,-9.496481,0.041480,0.722240,-0.100625,0.905625,-0.048125
77.360,-9.499530,0.040870,0.714920,-0.096250,0.883750,-0.061250
77.380,-9.489161,0.050020,0.717360,-0.083125,0.866250,-0.065625
77.400,-9.495871,0.043310,0.716750,-0.140000,0.883750,-0.074375
77.420,-9.498921,0.037820,0.729560,-0.148750,0.848750,-0.056875
77.440,-9.488550,0.038430,0.726510,-0.118125,0.770000,-0.096250
77.460,-9.494651,0.042090,0.727730,-0.096250,0.826875,-0.091875
77.480,-9.493431,0.039040,0.725290,-0.091875,0.875000,-0.070000
77.500,-9.491601,0.039650,0.724680,-0.030625,0.805000,-0.039375
77.520,-9.502581,0.051240,0.727730,-0.153125,0.857500,-0.043750
77.540,-9.490381,0.038430,0.715530,-0.122500,0.914375,-0.061250
77.560,-9.503800,0.045140,0.702720,-0.105000,0.826875,-0.083125
77.580,-9.494651,0.054900,0.711870,-0.043750,0.879375,-0.078750
77.600,-9.498921,0.040260,0.717970,-0.170625,0.844375,-0.065625
77.620,-9.501360,0.044530,0.717360,-0.083125,0.861875,-0.008750
77.640,-9.489771,0.037210,0.726510,-0.096250,0.875000,-0.065625
77.660,-9.507461,0.041480,0.727120,-0.087500,0.835625,-0.021875
77.680,-9.506241,0.046360,0.736880,-0.109375,0.796250,-0.091875
77.700,-9.498921,0.032330,0.729560,-0.135625,0.805000,-0.056875
77.720,-9.478790,0.031110,0.730170,-0.126875,0.892500,-0.105000
77.740,-9.500140,0.040260,0.733830,-0.109375,0.870625,-0.091875
77.760,-9.520271,0.029280,0.736880,-0.131250,0.796250,-0.083125
77.780,-9.498311,0.036600,0.730780,-0.113750,0.822500,-0.052500
77.800,-9.504411,0.037210,0.728950,-0.113750,0.835625,-0.056875
77.820,-9.498311,0.045750,0.725290,-0.091875,0.809375,-0.039375
77.840,-9.494040,0.048190,0.708210,-0.157500,0.853125,-0.065625
77.860,-9.493431,0.055510,0.710040,-0.140000,0.826875,-0.083125
77.880,-9.497090,0.057340,0.705160,-0.074375,0.809375,-0.061250
