timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
30.260,-8.301491,-2.059360,0.568520,91.573128,-3.285625,-12.915001
30.280,-8.541221,-2.273470,0.381860,93.839378,-4.720625,-15.890000
30.300,-8.534510,-2.424750,0.115900,93.082504,-0.660625,-19.582500
30.320,-9.641661,-3.451990,-0.132980,95.913132,1.036875,-20.015625
30.340,-11.932211,-6.010330,-0.479460,99.750008,-0.892500,-19.853750
30.360,-11.278291,-9.462931,0.597190,-2.738750,-13.518750,-19.713751
30.380,-14.089170,-7.211421,-0.550830,7.262500,3.425625,-15.023750
30.400,-6.828951,-3.217750,-1.230980,22.820002,10.723125,6.811875
30.420,-7.007680,-1.993480,-1.190720,3.605000,-6.370000,16.047501
30.440,-8.274040,-3.094530,-1.094340,-32.703125,-17.333752,21.455002
30.460,-10.822620,-4.704930,-0.478240,-33.586876,-5.092500,17.123751
30.480,-10.523721,-4.198020,-0.309270,-34.877502,8.308125,12.481875
30.500,-9.623971,-3.187250,-0.176900,-55.475002,14.126876,9.091250
30.520,-9.655691,-3.151870,-0.092110,-68.320000,11.086250,9.528750
30.540,-9.583100,-2.732800,0.127490,-77.866257,6.549376,12.127501
30.560,-9.242721,-2.167330,0.111020,-75.670006,4.558750,14.529376
30.580,-8.565011,-0.970510,0.161040,-69.846878,-4.628750,14.896875
30.600,-8.325280,-0.747860,0.065880,-62.733128,-6.623750,14.774376
30.620,-8.269160,-0.476410,0.171410,-37.813126,-5.639375,9.905001
30.640,-7.720771,-0.253150,0.256200,-23.196251,-2.327500,5.893125
30.660,-7.448101,-0.206790,0.318420,-7.603750,-0.153125,1.601250
30.680,-7.684170,-0.742980,0.357460,27.059376,2.082500,-6.300000
30.700,-7.617071,-0.997350,0.247050,43.120003,2.025625,-8.920626
30.720,-8.446671,-1.823290,0.177510,64.889999,-2.213750,-11.165001
30.740,-9.214661,-2.549800,0.171410,72.590004,-5.022500,-11.720626
30.760,-9.875290,-3.109170,-0.147010,72.489380,-11.103750,-12.963125
30.780,-10.823231,-3.809450,-0.294020,59.241879,-9.415001,-12.731251
30.800,-11.331360,-4.289520,-0.541680,39.453751,-6.553751,-10.263750
30.820,-11.261210,-4.257800,-0.940620,-11.042500,-1.391250,-7.468125
30.840,-10.818960,-4.046740,-1.027240,-35.914375,-1.855000,-3.259375
30.860,-10.036330,-3.418440,-1.009550,-67.431877,-3.473750,4.270000
30.880,-9.580661,-2.898720,-0.892430,-73.570000,1.601250,6.221250
30.900,-8.494250,-1.794010,-0.762500,-69.199379,10.408126,8.426250
30.920,-8.059320,-1.338340,-0.630130,-60.462502,11.296250,8.662500
30.940,-8.072741,-0.849730,-0.417240,-28.385002,9.511250,8.592501
30.960,-7.624391,-0.138470,-0.006100,-9.813126,5.040000,8.194375
30.980,-7.428580,0.019520,0.258030,5.670000,0.774375,7.608125
31.000,-7.645130,-0.319640,0.556930,35.586250,-1.063125,3.294375
31.020,-7.904990,-0.599630,0.661240,49.560001,2.498125,-0.433125
31.040,-8.303321,-1.523170,0.706990,74.891251,-2.432500,-8.876876
31.060,-8.579651,-1.917840,0.584990,81.886879,-6.072500,-12.530001
31.080,-9.026781,-3.146990,0.273890,85.338753,-8.111250,-18.847502
31.100,-10.443201,-3.837510,-0.001220,81.213127,-7.927500,-20.899376
31.120,-11.355762,-4.573170,-0.364170,69.895004,-4.991875,-20.094376
31.140,-11.976742,-5.440590,-0.960140,20.304377,-2.633750,-16.240002
31.160,-11.737619,-5.207570,-1.213290,-12.573750,-1.106875,-11.200001
31.180,-10.783581,-4.541451,-1.403000,-69.383125,-6.396250,1.522500
31.200,-10.262031,-4.104690,-1.432890,-87.508751,-7.376250,7.560000
31.220,-9.095100,-2.847480,-1.164490,-96.849380,3.946250,17.784376
31.240,-8.465580,-2.369240,-1.083970,-92.395630,9.896251,19.967501
31.260,-8.005030,-1.532320,-0.800320,-68.875626,16.130627,21.043751
31.280,-7.671971,-0.607560,-0.220210,-51.275002,14.581876,20.002501
31.300,-7.646350,-0.286090,0.029280,-31.815002,12.792500,18.528126
31.320,-7.779941,-0.104310,0.567910,0.870625,5.783750,13.632501
31.340,-7.876930,-0.248270,0.781410,13.816251,2.471875,10.482500
31.360,-8.316131,-0.592920,0.912560,37.226875,1.859375,2.314375
31.380,-8.437520,-0.851560,0.933910,46.366253,1.653750,-2.174375
31.400,-8.668100,-1.684820,0.863760,62.711254,-8.351875,-11.261250
31.420,-8.957241,-2.104500,0.678320,69.440002,-9.555000,-15.395626
31.440,-9.112790,-2.436340,0.410530,74.239380,-6.982501,-22.085001
31.460,-9.350691,-2.976191,-0.171410,71.378128,-5.805625,-23.940001
31.480,-9.878341,-3.387330,-0.414800,67.073128,-6.505625,-24.596251
31.500,-11.227050,-4.704930,-1.078480,48.615002,-8.242500,-20.247501
31.520,-11.665030,-4.943440,-1.340170,26.718126,-4.956875,-15.264376
31.540,-11.602201,-5.224040,-1.587830,-31.823751,-2.047500,-1.067500
31.560,-11.254501,-4.865970,-1.621990,-62.461880,-5.145000,6.247500
31.580,-10.676830,-4.405420,-1.288930,-104.951881,-3.508750,17.828125
31.600,-9.209170,-2.958500,-0.936350,-107.979378,2.012500,22.260000
31.620,-8.303321,-2.263710,-0.889990,-106.811256,11.213125,22.693127
31.640,-6.944241,-0.277550,-0.104920,-80.495628,10.972501,21.682501
31.660,-6.609350,0.305000,0.193370,-56.975628,4.221875,19.350626
31.680,-6.528831,1.044930,0.922320,5.648125,-8.290626,11.646251
31.700,-6.760020,0.994910,1.163270,34.426876,-7.848751,6.098750
31.720,-7.734800,-0.076860,1.180960,78.163757,-8.448126,-6.370000
31.740,-8.652851,-1.234030,1.115690,96.009377,-9.760626,-12.398750
31.760,-9.462931,-2.363750,0.984540,109.869377,-13.440001,-25.051250
31.780,-10.942791,-3.948530,0.189710,101.902504,-12.582500,-29.413126
31.800,-11.255111,-4.568901,-0.289750,82.215004,-10.158751,-31.408127
31.820,-11.522291,-5.157551,-1.206580,17.351252,-3.985625,-25.711876
31.840,-11.459461,-5.152061,-1.499380,-12.079375,-5.197500,-19.101252
31.860,-10.504200,-4.600010,-1.850740,-53.694378,-8.986251,-3.933125
31.880,-9.941781,-4.089440,-1.856230,-67.313751,-7.888125,2.594375
31.900,-9.295180,-2.932880,-1.609180,-76.680626,4.173750,12.556251
31.920,-8.538171,-2.485750,-1.468270,-72.213753,12.696251,15.531251
31.940,-8.152040,-1.978230,-1.176080,-63.113754,19.232500,16.677502
31.960,-7.861681,-0.819840,-0.599020,-35.975628,18.213125,16.450001
31.980,-7.827520,-0.414190,-0.250710,-18.816875,14.061251,15.732501
32.000,-7.969040,-0.240950,0.419680,10.985625,5.928125,13.461876
32.020,-8.119711,-0.380030,0.622810,22.811251,3.521875,10.850000
32.040,-8.645531,-1.190720,0.822280,41.269379,4.068750,3.657500
32.060,-8.985301,-1.721420,0.832650,48.816254,1.846250,-0.253750
32.080,-9.240891,-2.235650,0.759450,54.954376,-4.948125,-8.203125
32.100,-9.510510,-2.863340,0.311710,51.375626,-6.422500,-11.799376
